"","game_id","commentary","match_time","team_one","team_two","team_one_score","team_two_score","half_end","match_end","half_begins","shot_attempt","penalty_shot","shot_result","shot_by_player","shot_by_team","shot_with","shot_where","net_location","assist_by_player","foul","foul_by_player","foul_by_team","follow_set_piece","assist_type","follow_corner","offside","offside_team","offside_player","offside_pass_from","shown_card","card_type","card_player","card_team","video_review","video_review_event","video_review_result","delay_in_match","delay_team","free_kick_won","free_kick_player","free_kick_team","free_kick_where","corner","corner_team","corner_conceded_by","substitution","sub_injury","sub_team","sub_player","replaced_player","penalty","team_drew_penalty","player_drew_penalty","player_conceded_penalty","team_conceded_penalty","half","comment_id","stoppage_time","team_one_penalty_score","team_two_penalty_score","match_time_numeric"
"1",480813,"First Half begins.","-","Arsenal","Swansea City","0","0",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,0,NA,NA,NA
"2",480813,"Lineups are announced and players are warming up.","-","Arsenal","Swansea City","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,2,0,NA,NA,NA
"3",480813,"Alexis Sánchez (Arsenal) wins a free kick in the attacking half.","1'","Arsenal","Swansea City","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,"Alexis Sánchez","Arsenal","attacking half",0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,3,0,NA,NA,1
"4",480813,"Foul by Leroy Fer (Swansea City).","1'","Arsenal","Swansea City","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"Leroy Fer","Swansea City",0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,4,0,NA,NA,1
"5",480813,"Attempt blocked. Aaron Ramsey (Arsenal) right footed shot from the centre of the box is blocked. Assisted by Alexis Sánchez.","5'","Arsenal","Swansea City","0","0",0,0,0,1,0,"blocked","Aaron Ramsey","Arsenal","right","the centre of the box",NA,"Alexis Sánchez",0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,5,0,NA,NA,5
"6",480813,"Alexis Sánchez (Arsenal) wins a free kick on the left wing.","7'","Arsenal","Swansea City","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,"Alexis Sánchez","Arsenal",NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,6,0,NA,NA,7
"7",480813,"Foul by Ki Sung-yueng (Swansea City).","7'","Arsenal","Swansea City","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"Ki Sung-yueng","Swansea City",0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,7,0,NA,NA,7
"8",480813,"Attempt saved. Per Mertesacker (Arsenal) header from the centre of the box is saved in the centre of the goal. Assisted by Alexis Sánchez with a cross.","8'","Arsenal","Swansea City","0","0",0,0,0,1,0,"saved","Per Mertesacker","Arsenal","header","the centre of the box","the centre of the goal","Alexis Sánchez",0,NA,NA,0,"cross",0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,8,0,NA,NA,8
"9",480813,"Foul by Nacho Monreal (Arsenal).","11'","Arsenal","Swansea City","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"Nacho Monreal","Arsenal",0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,9,0,NA,NA,11
"10",480813,"Jordan Ayew (Swansea City) wins a free kick in the defensive half.","11'","Arsenal","Swansea City","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,"Jordan Ayew","Swansea City","defensive half",0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,10,0,NA,NA,11
"11",480813,"Attempt missed. Alexis Sánchez (Arsenal) right footed shot from long range on the left is close, but misses to the left. Assisted by Nacho Monreal.","18'","Arsenal","Swansea City","0","0",0,0,0,1,0,"missed","Alexis Sánchez","Arsenal","right","right shot long range",NA,"Nacho Monreal",0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,11,0,NA,NA,18
"12",480813,"Attempt blocked. Héctor Bellerín (Arsenal) right footed shot from outside the box is blocked. Assisted by Nacho Monreal.","19'","Arsenal","Swansea City","0","0",0,0,0,1,0,"blocked","Héctor Bellerín","Arsenal","right","outside the box",NA,"Nacho Monreal",0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,12,0,NA,NA,19
"13",480813,"Foul by Tammy Abraham (Swansea City).","20'","Arsenal","Swansea City","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"Tammy Abraham","Swansea City",0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,13,0,NA,NA,20
