"","game_id","commentary","match_time","team_one","team_two","team_one_score","team_two_score","half_end","match_end","half_begins","shot_attempt","penalty_shot","shot_result","shot_by_player","shot_by_team","shot_with","shot_where","net_location","assist_by_player","foul","foul_by_player","foul_by_team","follow_set_piece","assist_type","follow_corner","offside","offside_team","offside_player","offside_pass_from","shown_card","card_type","card_player","card_team","video_review","video_review_event","video_review_result","delay_in_match","delay_team","free_kick_won","free_kick_player","free_kick_team","free_kick_where","corner","corner_team","corner_conceded_by","substitution","sub_injury","sub_team","sub_player","replaced_player","penalty","team_drew_penalty","player_drew_penalty","player_conceded_penalty","team_conceded_penalty","half","comment_id","stoppage_time","team_one_penalty_score","team_two_penalty_score","match_time_numeric"
"1",480807,"First Half begins.","-","Leicester City","Everton","0","0",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,0,NA,NA,NA
"2",480807,"Lineups are announced and players are warming up.","-","Leicester City","Everton","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,2,0,NA,NA,NA
"3",480807,"Attempt missed. Demarai Gray (Leicester City) right footed shot from outside the box is close, but misses to the left. Assisted by Wilfred Ndidi.","3'","Leicester City","Everton","0","0",0,0,0,1,0,"missed","Demarai Gray","Leicester City","right","outside the box","close, but left","Wilfred Ndidi",0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,3,0,NA,NA,3
"4",480807,"Foul by Dominic Calvert-Lewin (Everton).","4'","Leicester City","Everton","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"Dominic Calvert-Lewin","Everton",0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,4,0,NA,NA,4
"5",480807,"Harry Maguire (Leicester City) wins a free kick in the defensive half.","4'","Leicester City","Everton","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,"Harry Maguire","Leicester City","defensive half",0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,5,0,NA,NA,4
"6",480807,"Corner,  Leicester City. Conceded by Ashley Williams.","8'","Leicester City","Everton","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,1,"Leicester City","Ashley Williams",0,0,NA,NA,NA,0,NA,NA,NA,NA,1,6,0,NA,NA,8
"7",480807,"Attempt missed. Vicente Iborra (Leicester City) with an attempt from very close range misses to the left. Assisted by Riyad Mahrez with a cross following a corner.","8'","Leicester City","Everton","0","0",0,0,0,1,0,"missed","Vicente Iborra","Leicester City",NA,"with an attempt very close range","left","Riyad Mahrez",0,NA,NA,0,"cross",1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,7,0,NA,NA,8
"8",480807,"Attempt blocked. Wes Morgan (Leicester City) right footed shot from the left side of the box is blocked. Assisted by Vicente Iborra.","8'","Leicester City","Everton","0","0",0,0,0,1,0,"blocked","Wes Morgan","Leicester City","right","the left side of the box",NA,"Vicente Iborra",0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,8,0,NA,NA,8
"9",480807,"Corner,  Leicester City. Conceded by Ashley Williams.","8'","Leicester City","Everton","0","0",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,1,"Leicester City","Ashley Williams",0,0,NA,NA,NA,0,NA,NA,NA,NA,1,9,0,NA,NA,8
"10",480807,"Attempt missed. Ben Chilwell (Leicester City) right footed shot from the centre of the box is high and wide to the right. Assisted by Demarai Gray.","9'","Leicester City","Everton","0","0",0,0,0,1,0,"missed","Ben Chilwell","Leicester City","right","the centre of the box","high and wide to the right","Demarai Gray",0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,10,0,NA,NA,9
