Game ID;Date;Commentary;Match Time;Team One;Team Two;Team One Score;Team Two Score;Half End;Match End;Half Begins;Shot Attempt;Penalty Shot;Shot Result;Shot by Player;Shot by Team;Shot with;Shot where;Net Location;Assist by Player;Foul;Foul by Player;Foul by Team;Followed by Set Piece;Assist Type;Followed by Corner;Offside;Offside Team;Offside Player;Offside followed by pass from;Shown Card;Card Type;Card Player;Card Team;Video Review;Video Review Event;Video Review Result;Delay in Match;Delay Team;Free Kick Won;Free Kick Player;Free Kick Team;Free Kick where;Corner;Corner Team;Corner conceded by;Substitution;Substitution Injury;Substitution Team;Substitution Player;Replaced Player;Penalty;Team drew Penalty;Player drew Penalty;Player conceded Penalty;Team conceded Penalty;Half;Comment ID;Stoppage Time;Team One Penalty Score;Team Two Penalty Score;Match Time Numeric
480759;02-12-2017;First Half begins.;-;Brighton & Hove Albion;Liverpool;0;0;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;1;0;NA;NA;NA
480759;02-12-2017;Lineups are announced and players are warming up.;-;Brighton & Hove Albion;Liverpool;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;2;0;NA;NA;NA
480759;02-12-2017;Attempt missed. Mohamed Salah (Liverpool) left footed shot from outside the box misses to the left. Assisted by Trent Alexander-Arnold.;1';Brighton & Hove Albion;Liverpool;0;0;0;0;0;1;0;missed;Mohamed Salah;Liverpool;left;outside the box;left;Trent Alexander-Arnold;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;3;0;NA;NA;1
480759;02-12-2017;Anthony Knockaert (Brighton and Hove Albion) wins a free kick in the defensive half.;2';Brighton & Hove Albion;Liverpool;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Anthony Knockaert;Brighton and Hove Albion;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;4;0;NA;NA;2
480759;02-12-2017;Foul by Jordan Henderson (Liverpool).;2';Brighton & Hove Albion;Liverpool;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Jordan Henderson;Liverpool;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;5;0;NA;NA;2
480759;02-12-2017;Attempt blocked. Mohamed Salah (Liverpool) left footed shot from a difficult angle on the left is blocked.;4';Brighton & Hove Albion;Liverpool;0;0;0;0;0;1;0;blocked;Mohamed Salah;Liverpool;left;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;6;0;NA;NA;4
480759;02-12-2017;Corner,  Liverpool. Conceded by Shane Duffy.;4';Brighton & Hove Albion;Liverpool;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Liverpool;Shane Duffy;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;7;0;NA;NA;4
480759;02-12-2017;Attempt missed. Roberto Firmino (Liverpool) header from very close range is too high. Assisted by Philippe Coutinho with a cross following a corner.;5';Brighton & Hove Albion;Liverpool;0;0;0;0;0;1;0;missed;Roberto Firmino;Liverpool;header;very close range;too high;Philippe Coutinho;0;NA;NA;0;cross;1;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;8;0;NA;NA;5
480759;02-12-2017;Foul by Pascal GroÃŸ (Brighton and Hove Albion).;15';Brighton & Hove Albion;Liverpool;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Pascal GroÃŸ;Brighton and Hove Albion;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;9;0;NA;NA;15
480759;02-12-2017;Philippe Coutinho (Liverpool) wins a free kick in the attacking half.;15';Brighton & Hove Albion;Liverpool;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Philippe Coutinho;Liverpool;attacking half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;10;0;NA;NA;15
480759;02-12-2017;Attempt missed. Glenn Murray (Brighton and Hove Albion) left footed shot from the centre of the box is high and wide to the left. Assisted by Isaiah Brown with a cross.;17';Brighton & Hove Albion;Liverpool;0;0;0;0;0;1;0;missed;Glenn Murray;Brighton and Hove Albion;left;the centre of the box;high and wide to the left;Isaiah Brown;0;NA;NA;0;cross;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;11;0;NA;NA;17
480759;02-12-2017;Emre Can (Liverpool) wins a free kick in the defensive half.;23';Brighton & Hove Albion;Liverpool;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Emre Can;Liverpool;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;12;0;NA;NA;23
480759;02-12-2017;Foul by Glenn Murray (Brighton and Hove Albion).;23';Brighton & Hove Albion;Liverpool;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Glenn Murray;Brighton and Hove Albion;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;13;0;NA;NA;23
480759;02-12-2017;Corner,  Liverpool. Conceded by Dale Stephens.;30';Brighton & Hove Albion;Liverpool;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Liverpool;Dale Stephens;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;14;0;NA;NA;30
480759;02-12-2017;Goal!  Brighton and Hove Albion 0, Liverpool 1. Emre Can (Liverpool) header from the centre of the box to the high centre of the goal. Assisted by Philippe Coutinho with a cross following a corner.;30';Brighton & Hove Albion;Liverpool;0;1;0;0;0;1;0;goal;Emre Can;Liverpool;header;the centre of the box;high centre of the goal;Philippe Coutinho;0;NA;NA;0;cross;1;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;15;0;NA;NA;30
480759;02-12-2017;Goal!  Brighton and Hove Albion 0, Liverpool 2. Roberto Firmino (Liverpool) right footed shot from the centre of the box to the bottom right corner. Assisted by Philippe Coutinho following a fast break.;31';Brighton & Hove Albion;Liverpool;0;2;0;0;0;1;0;goal;Roberto Firmino;Liverpool;right;the centre of the box;bottom right corner;Philippe Coutinho;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;16;0;NA;NA;31
480759;02-12-2017;Offside, Liverpool. Philippe Coutinho tries a through ball, but Mohamed Salah is caught offside.;37';Brighton & Hove Albion;Liverpool;0;2;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;1;Liverpool;Mohamed Salah;Philippe Coutinho;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;17;0;NA;NA;37
480759;02-12-2017;Foul by Dale Stephens (Brighton and Hove Albion).;42';Brighton & Hove Albion;Liverpool;0;2;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Dale Stephens;Brighton and Hove Albion;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;18;0;NA;NA;42
480759;02-12-2017;Philippe Coutinho (Liverpool) wins a free kick in the attacking half.;42';Brighton & Hove Albion;Liverpool;0;2;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Philippe Coutinho;Liverpool;attacking half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;19;0;NA;NA;42
480759;02-12-2017;Attempt saved. Philippe Coutinho (Liverpool) right footed shot from outside the box is saved in the centre of the goal. Assisted by James Milner.;42';Brighton & Hove Albion;Liverpool;0;2;0;0;0;1;0;saved;Philippe Coutinho;Liverpool;right;outside the box;the centre of the goal;James Milner;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;20;0;NA;NA;42
480759;02-12-2017;First Half ends, Brighton and Hove Albion 0, Liverpool 2.;45'+2';Brighton & Hove Albion;Liverpool;0;2;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;21;1;NA;NA;47
