Game ID;Date;Commentary;Match Time;Team One;Team Two;Team One Score;Team Two Score;Half End;Match End;Half Begins;Shot Attempt;Penalty Shot;Shot Result;Shot by Player;Shot by Team;Shot with;Shot where;Net Location;Assist by Player;Foul;Foul by Player;Foul by Team;Followed by Set Piece;Assist Type;Followed by Corner;Offside;Offside Team;Offside Player;Offside followed by pass from;Shown Card;Card Type;Card Player;Card Team;Video Review;Video Review Event;Video Review Result;Delay in Match;Delay Team;Free Kick Won;Free Kick Player;Free Kick Team;Free Kick where;Corner;Corner Team;Corner conceded by;Substitution;Substitution Injury;Substitution Team;Substitution Player;Replaced Player;Penalty;Team drew Penalty;Player drew Penalty;Player conceded Penalty;Team conceded Penalty;Half;Comment ID;Stoppage Time;Team One Penalty Score;Team Two Penalty Score;Match Time Numeric
480575;15-04-2018;First Half begins.;-;Manchester United;West Bromwich Albion;0;0;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;1;0;NA;NA;NA
480575;15-04-2018;Lineups are announced and players are warming up.;-;Manchester United;West Bromwich Albion;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;2;0;NA;NA;NA
480575;15-04-2018;Foul by Paul Pogba (Manchester United).;4';Manchester United;West Bromwich Albion;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Paul Pogba;Manchester United;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;3;0;NA;NA;4
480575;15-04-2018;Matt Phillips (West Bromwich Albion) wins a free kick in the defensive half.;4';Manchester United;West Bromwich Albion;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Matt Phillips;West Bromwich Albion;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;4;0;NA;NA;4
480575;15-04-2018;Foul by Ahmed Hegazi (West Bromwich Albion).;6';Manchester United;West Bromwich Albion;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Ahmed Hegazi;West Bromwich Albion;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;5;0;NA;NA;6
480575;15-04-2018;Romelu Lukaku (Manchester United) wins a free kick in the attacking half.;6';Manchester United;West Bromwich Albion;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Romelu Lukaku;Manchester United;attacking half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;6;0;NA;NA;6
480575;15-04-2018;Attempt saved. Paul Pogba (Manchester United) right footed shot from outside the box is saved in the bottom left corner. Assisted by Ashley Young.;7';Manchester United;West Bromwich Albion;0;0;0;0;0;1;0;saved;Paul Pogba;Manchester United;right;outside the box;the bottom left corner;Ashley Young;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;7;0;NA;NA;7
480575;15-04-2018;Offside, Manchester United. Ashley Young tries a through ball, but Juan Mata is caught offside.;10';Manchester United;West Bromwich Albion;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;1;Manchester United;Juan Mata;Ashley Young;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;8;0;NA;NA;10
480575;15-04-2018;Foul by Jake Livermore (West Bromwich Albion).;11';Manchester United;West Bromwich Albion;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Jake Livermore;West Bromwich Albion;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;9;0;NA;NA;11
480575;15-04-2018;Paul Pogba (Manchester United) wins a free kick on the left wing.;11';Manchester United;West Bromwich Albion;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Paul Pogba;Manchester United;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;10;0;NA;NA;11
