Game ID;Date;Commentary;Match Time;Team One;Team Two;Team One Score;Team Two Score;Half End;Match End;Half Begins;Shot Attempt;Penalty Shot;Shot Result;Shot by Player;Shot by Team;Shot with;Shot where;Net Location;Assist by Player;Foul;Foul by Player;Foul by Team;Followed by Set Piece;Assist Type;Followed by Corner;Offside;Offside Team;Offside Player;Offside followed by pass from;Shown Card;Card Type;Card Player;Card Team;Video Review;Video Review Event;Video Review Result;Delay in Match;Delay Team;Free Kick Won;Free Kick Player;Free Kick Team;Free Kick where;Corner;Corner Team;Corner conceded by;Substitution;Substitution Injury;Substitution Team;Substitution Player;Replaced Player;Penalty;Team drew Penalty;Player drew Penalty;Player conceded Penalty;Team conceded Penalty;Half;Comment ID;Stoppage Time;Team One Penalty Score;Team Two Penalty Score;Match Time Numeric
480675;20-01-2018;First Half begins.;-;Everton;West Bromwich Albion;0;0;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;1;0;NA;NA;NA
480675;20-01-2018;Lineups are announced and players are warming up.;-;Everton;West Bromwich Albion;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;2;0;NA;NA;NA
480675;20-01-2018;Attempt saved. SalomÃ³n RondÃ³n (West Bromwich Albion) right footed shot from outside the box is saved in the bottom left corner.;3';Everton;West Bromwich Albion;0;0;0;0;0;1;0;saved;SalomÃ³n RondÃ³n;West Bromwich Albion;right;outside the box;the bottom left corner;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;3;0;NA;NA;3
480675;20-01-2018;Attempt missed. Grzegorz Krychowiak (West Bromwich Albion) right footed shot from the centre of the box is too high. Assisted by Matt Phillips.;7';Everton;West Bromwich Albion;0;0;0;0;0;1;0;missed;Grzegorz Krychowiak;West Bromwich Albion;right;the centre of the box;too high;Matt Phillips;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;4;0;NA;NA;7
480675;20-01-2018;Goal!  Everton 0, West Bromwich Albion 1. Jay Rodriguez (West Bromwich Albion) right footed shot from the centre of the box to the bottom left corner. Assisted by Grzegorz Krychowiak with a through ball.;7';Everton;West Bromwich Albion;0;1;0;0;0;1;0;goal;Jay Rodriguez;West Bromwich Albion;right;the centre of the box;bottom left corner;Grzegorz Krychowiak;0;NA;NA;0;through;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;5;0;NA;NA;7
480675;20-01-2018;Foul by Ashley Williams (Everton).;11';Everton;West Bromwich Albion;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Ashley Williams;Everton;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;6;0;NA;NA;11
480675;20-01-2018;Jay Rodriguez (West Bromwich Albion) wins a free kick in the defensive half.;11';Everton;West Bromwich Albion;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Jay Rodriguez;West Bromwich Albion;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;7;0;NA;NA;11
480675;20-01-2018;Attempt blocked. Gylfi Sigurdsson (Everton) left footed shot from the centre of the box is blocked. Assisted by Nikola Vlasic with a headed pass.;13';Everton;West Bromwich Albion;0;1;0;0;0;1;0;blocked;Gylfi Sigurdsson;Everton;left;the centre of the box;NA;Nikola Vlasic;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;8;0;NA;NA;13
480675;20-01-2018;Foul by SalomÃ³n RondÃ³n (West Bromwich Albion).;18';Everton;West Bromwich Albion;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;SalomÃ³n RondÃ³n;West Bromwich Albion;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;9;0;NA;NA;18
480675;20-01-2018;Theo Walcott (Everton) wins a free kick on the right wing.;18';Everton;West Bromwich Albion;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Theo Walcott;Everton;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;10;0;NA;NA;18
