Game ID;Date;Commentary;Match Time;Team One;Team Two;Team One Score;Team Two Score;Half End;Match End;Half Begins;Shot Attempt;Penalty Shot;Shot Result;Shot by Player;Shot by Team;Shot with;Shot where;Net Location;Assist by Player;Foul;Foul by Player;Foul by Team;Followed by Set Piece;Assist Type;Followed by Corner;Offside;Offside Team;Offside Player;Offside followed by pass from;Shown Card;Card Type;Card Player;Card Team;Video Review;Video Review Event;Video Review Result;Delay in Match;Delay Team;Free Kick Won;Free Kick Player;Free Kick Team;Free Kick where;Corner;Corner Team;Corner conceded by;Substitution;Substitution Injury;Substitution Team;Substitution Player;Replaced Player;Penalty;Team drew Penalty;Player drew Penalty;Player conceded Penalty;Team conceded Penalty;Half;Comment ID;Stoppage Time;Team One Penalty Score;Team Two Penalty Score;Match Time Numeric
480702;30-12-2017;First Half begins.;-;Manchester United;Southampton;0;0;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;1;0;NA;NA;NA
480702;30-12-2017;Lineups are announced and players are warming up.;-;Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;2;0;NA;NA;NA
480702;30-12-2017;Foul by Shane Long (Southampton).;3';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Shane Long;Southampton;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;3;0;NA;NA;3
480702;30-12-2017;Nemanja Matic (Manchester United) wins a free kick in the defensive half.;3';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Nemanja Matic;Manchester United;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;4;0;NA;NA;3
480702;30-12-2017;Attempt missed. Romelu Lukaku (Manchester United) header from the centre of the box is just a bit too high. Assisted by Juan Mata with a cross.;4';Manchester United;Southampton;0;0;0;0;0;1;0;missed;Romelu Lukaku;Manchester United;header;the centre of the box;just a bit too high;Juan Mata;0;NA;NA;0;cross;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;5;0;NA;NA;4
480702;30-12-2017;Foul by Luke Shaw (Manchester United).;5';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Luke Shaw;Manchester United;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;6;0;NA;NA;5
480702;30-12-2017;Sofiane Boufal (Southampton) wins a free kick in the attacking half.;5';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Sofiane Boufal;Southampton;attacking half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;7;0;NA;NA;5
480702;30-12-2017;Attempt saved. James Ward-Prowse (Southampton) left footed shot from the centre of the box is saved in the bottom right corner.;7';Manchester United;Southampton;0;0;0;0;0;1;0;saved;James Ward-Prowse;Southampton;left;the centre of the box;the bottom right corner;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;8;0;NA;NA;7
480702;30-12-2017;Offside, Southampton. James Ward-Prowse tries a through ball, but Sofiane Boufal is caught offside.;7';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;1;Southampton;Sofiane Boufal;James Ward-Prowse;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;9;0;NA;NA;7
480702;30-12-2017;Foul by Wesley Hoedt (Southampton).;8';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Wesley Hoedt;Southampton;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;10;0;NA;NA;8
480702;30-12-2017;Romelu Lukaku (Manchester United) wins a free kick in the attacking half.;8';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Romelu Lukaku;Manchester United;attacking half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;11;0;NA;NA;8
480702;30-12-2017;Delay in match Romelu Lukaku (Manchester United) because of an injury.;8';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;1;Manchester United;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;12;0;NA;NA;8
480702;30-12-2017;Substitution, Manchester United. Marcus Rashford replaces Romelu Lukaku because of an injury.;14';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;1;1;Manchester United;Marcus Rashford;Romelu Lukaku;0;NA;NA;NA;NA;1;13;0;NA;NA;14
480702;30-12-2017;Delay over. They are ready to continue.;14';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;14;0;NA;NA;14
480702;30-12-2017;Ashley Young (Manchester United) wins a free kick in the defensive half.;15';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Ashley Young;Manchester United;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;15;0;NA;NA;15
480702;30-12-2017;Foul by Sofiane Boufal (Southampton).;15';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Sofiane Boufal;Southampton;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;16;0;NA;NA;15
480702;30-12-2017;Ashley Young (Manchester United) wins a free kick on the right wing.;16';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Ashley Young;Manchester United;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;17;0;NA;NA;16
480702;30-12-2017;Foul by Pierre-Emile HÃ¸jbjerg (Southampton).;16';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Emile HÃ¸jbjerg;Southampton;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;18;0;NA;NA;16
480702;30-12-2017;Corner,  Manchester United. Conceded by Sam McQueen.;16';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Manchester United;Sam McQueen;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;19;0;NA;NA;16
480702;30-12-2017;Foul by Victor LindelÃ¶f (Manchester United).;18';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Victor LindelÃ¶f;Manchester United;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;20;0;NA;NA;18
480702;30-12-2017;Shane Long (Southampton) wins a free kick on the left wing.;18';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Shane Long;Southampton;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;21;0;NA;NA;18
480702;30-12-2017;Attempt saved. James Ward-Prowse (Southampton) right footed shot from a difficult angle and long range on the left is saved in the bottom left corner.;19';Manchester United;Southampton;0;0;0;0;0;1;0;saved;James Ward-Prowse;Southampton;right;right shot a difficult angle and long range;the bottom left corner;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;22;0;NA;NA;19
480702;30-12-2017;Corner,  Southampton. Conceded by David de Gea.;19';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Southampton;David de Gea;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;23;0;NA;NA;19
480702;30-12-2017;Corner,  Southampton. Conceded by Nemanja Matic.;19';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Southampton;Nemanja Matic;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;24;0;NA;NA;19
480702;30-12-2017;Corner,  Southampton. Conceded by Phil Jones.;22';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Southampton;Phil Jones;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;25;0;NA;NA;22
480702;30-12-2017;Attempt missed. Wesley Hoedt (Southampton) header from the centre of the box misses to the left. Assisted by James Ward-Prowse with a cross following a corner.;22';Manchester United;Southampton;0;0;0;0;0;1;0;missed;Wesley Hoedt;Southampton;header;the centre of the box;left;James Ward-Prowse;0;NA;NA;0;cross;1;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;26;0;NA;NA;22
480702;30-12-2017;Foul by Pierre-Emile HÃ¸jbjerg (Southampton).;26';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Emile HÃ¸jbjerg;Southampton;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;27;0;NA;NA;26
480702;30-12-2017;Luke Shaw (Manchester United) wins a free kick in the defensive half.;26';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Luke Shaw;Manchester United;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;28;0;NA;NA;26
480702;30-12-2017;Pierre-Emile HÃ¸jbjerg (Southampton) is shown the yellow card for a bad foul.;26';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;1;yellow;NA;Southampton;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;29;0;NA;NA;26
480702;30-12-2017;Attempt saved. Juan Mata (Manchester United) left footed shot from the centre of the box is saved in the centre of the goal. Assisted by Marcus Rashford.;27';Manchester United;Southampton;0;0;0;0;0;1;0;saved;Juan Mata;Manchester United;left;the centre of the box;the centre of the goal;Marcus Rashford;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;30;0;NA;NA;27
480702;30-12-2017;Attempt missed. Marcus Rashford (Manchester United) header from very close range misses to the left. Assisted by Ashley Young with a cross.;30';Manchester United;Southampton;0;0;0;0;0;1;0;missed;Marcus Rashford;Manchester United;header;very close range;left;Ashley Young;0;NA;NA;0;cross;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;31;0;NA;NA;30
480702;30-12-2017;Attempt blocked. Paul Pogba (Manchester United) right footed shot from outside the box is blocked. Assisted by Henrikh Mkhitaryan.;35';Manchester United;Southampton;0;0;0;0;0;1;0;blocked;Paul Pogba;Manchester United;right;outside the box;NA;Henrikh Mkhitaryan;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;32;0;NA;NA;35
480702;30-12-2017;Attempt missed. Nemanja Matic (Manchester United) left footed shot from outside the box is too high. Assisted by Henrikh Mkhitaryan.;38';Manchester United;Southampton;0;0;0;0;0;1;0;missed;Nemanja Matic;Manchester United;left;outside the box;too high;Henrikh Mkhitaryan;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;33;0;NA;NA;38
480702;30-12-2017;Corner,  Manchester United. Conceded by James Ward-Prowse.;39';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Manchester United;James Ward-Prowse;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;34;0;NA;NA;39
480702;30-12-2017;Corner,  Manchester United. Conceded by Shane Long.;39';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Manchester United;Shane Long;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;35;0;NA;NA;39
480702;30-12-2017;Foul by Ashley Young (Manchester United).;40';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Ashley Young;Manchester United;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;36;0;NA;NA;40
480702;30-12-2017;Sofiane Boufal (Southampton) wins a free kick on the left wing.;40';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Sofiane Boufal;Southampton;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;37;0;NA;NA;40
480702;30-12-2017;Attempt blocked. Luke Shaw (Manchester United) left footed shot from outside the box is blocked. Assisted by Nemanja Matic.;42';Manchester United;Southampton;0;0;0;0;0;1;0;blocked;Luke Shaw;Manchester United;left;outside the box;NA;Nemanja Matic;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;38;0;NA;NA;42
480702;30-12-2017;Hand ball by Sofiane Boufal (Southampton).;43';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;39;0;NA;NA;43
480702;30-12-2017;Attempt missed. Jesse Lingard (Manchester United) header from the centre of the box is close, but misses to the right. Assisted by Henrikh Mkhitaryan with a cross.;44';Manchester United;Southampton;0;0;0;0;0;1;0;missed;Jesse Lingard;Manchester United;header;the centre of the box;close, but right;Henrikh Mkhitaryan;0;NA;NA;0;cross;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;40;0;NA;NA;44
480702;30-12-2017;Wesley Hoedt (Southampton) is shown the yellow card.;44';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;1;yellow;Wesley Hoedt;Southampton;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;41;0;NA;NA;44
480702;30-12-2017;Foul by Paul Pogba (Manchester United).;44';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Paul Pogba;Manchester United;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;42;0;NA;NA;44
480702;30-12-2017;Pierre-Emile HÃ¸jbjerg (Southampton) wins a free kick in the defensive half.;44';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;NA;Southampton;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;43;0;NA;NA;44
480702;30-12-2017;Attempt saved. Nemanja Matic (Manchester United) left footed shot from outside the box is saved in the bottom left corner. Assisted by Juan Mata.;45'+1';Manchester United;Southampton;0;0;0;0;0;1;0;saved;Nemanja Matic;Manchester United;left;outside the box;the bottom left corner;Juan Mata;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;44;1;NA;NA;46
480702;30-12-2017;Foul by Jesse Lingard (Manchester United).;45'+3';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Jesse Lingard;Manchester United;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;45;1;NA;NA;48
480702;30-12-2017;Sofiane Boufal (Southampton) wins a free kick in the defensive half.;45'+3';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Sofiane Boufal;Southampton;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;46;1;NA;NA;48
480702;30-12-2017;Foul by Juan Mata (Manchester United).;45'+5';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Juan Mata;Manchester United;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;47;1;NA;NA;50
480702;30-12-2017;Pierre-Emile HÃ¸jbjerg (Southampton) wins a free kick in the defensive half.;45'+5';Manchester United;Southampton;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;NA;Southampton;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;48;1;NA;NA;50
480702;30-12-2017;First Half ends, Manchester United 0, Southampton 0.;45'+7';Manchester United;Southampton;0;0;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;49;1;NA;NA;52
480702;30-12-2017;Second Half begins Manchester United 0, Southampton 0.;45';Manchester United;Southampton;0;0;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;2;50;0;NA;NA;45
