Game ID;Date;Commentary;Match Time;Team One;Team Two;Team One Score;Team Two Score;Half End;Match End;Half Begins;Shot Attempt;Penalty Shot;Shot Result;Shot by Player;Shot by Team;Shot with;Shot where;Net Location;Assist by Player;Foul;Foul by Player;Foul by Team;Followed by Set Piece;Assist Type;Followed by Corner;Offside;Offside Team;Offside Player;Offside followed by pass from;Shown Card;Card Type;Card Player;Card Team;Video Review;Video Review Event;Video Review Result;Delay in Match;Delay Team;Free Kick Won;Free Kick Player;Free Kick Team;Free Kick where;Corner;Corner Team;Corner conceded by;Substitution;Substitution Injury;Substitution Team;Substitution Player;Replaced Player;Penalty;Team drew Penalty;Player drew Penalty;Player conceded Penalty;Team conceded Penalty;Half;Comment ID;Stoppage Time;Team One Penalty Score;Team Two Penalty Score;Match Time Numeric
480656;31-01-2018;First Half begins.;-;Tottenham Hotspur;Manchester United;0;0;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;1;0;NA;NA;NA
480656;31-01-2018;Lineups are announced and players are warming up.;-;Tottenham Hotspur;Manchester United;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;2;0;NA;NA;NA
480656;31-01-2018;Goal!  Tottenham Hotspur 1, Manchester United 0. Christian Eriksen (Tottenham Hotspur) left footed shot from the centre of the box to the bottom left corner.;1';Tottenham Hotspur;Manchester United;1;0;0;0;0;1;0;goal;Christian Eriksen;Tottenham Hotspur;left;the centre of the box;bottom left corner;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;3;0;NA;NA;1
480656;31-01-2018;Offside, Manchester United. Ashley Young tries a through ball, but Romelu Lukaku is caught offside.;3';Tottenham Hotspur;Manchester United;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;1;Manchester United;Romelu Lukaku;Ashley Young;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;4;0;NA;NA;3
480656;31-01-2018;Attempt saved. Jesse Lingard (Manchester United) right footed shot from the centre of the box is saved in the bottom right corner.;3';Tottenham Hotspur;Manchester United;1;0;0;0;0;1;0;saved;Jesse Lingard;Manchester United;right;the centre of the box;the bottom right corner;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;5;0;NA;NA;3
480656;31-01-2018;Foul by Chris Smalling (Manchester United).;3';Tottenham Hotspur;Manchester United;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Chris Smalling;Manchester United;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;6;0;NA;NA;3
480656;31-01-2018;Harry Kane (Tottenham Hotspur) wins a free kick in the defensive half.;3';Tottenham Hotspur;Manchester United;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Harry Kane;Tottenham Hotspur;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;7;0;NA;NA;3
480656;31-01-2018;Foul by Mousa DembÃ©lÃ© (Tottenham Hotspur).;4';Tottenham Hotspur;Manchester United;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Mousa DembÃ©lÃ©;Tottenham Hotspur;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;8;0;NA;NA;4
480656;31-01-2018;Paul Pogba (Manchester United) wins a free kick in the defensive half.;4';Tottenham Hotspur;Manchester United;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Paul Pogba;Manchester United;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;9;0;NA;NA;4
480656;31-01-2018;Offside, Manchester United. David de Gea tries a through ball, but Alexis SÃ¡nchez is caught offside.;5';Tottenham Hotspur;Manchester United;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;1;Manchester United;Alexis SÃ¡nchez;David de Gea;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;10;0;NA;NA;5
