;id_game;team_1_name;team_2_name;game_date;home_player_1;home_player_2;home_player_3;home_player_4;home_player_5;home_player_6;home_player_7;home_player_8;home_player_9;home_player_10;home_player_11;away_player_1;away_player_2;away_player_3;away_player_4;away_player_5;away_player_6;away_player_7;away_player_8;away_player_9;away_player_10;away_player_11
0;g_1_xSUUEVHO;Burnley;Bournemouth;13.05. 15:00;Cork J. (C);Gudmundsson J.;Hendrick J.;Lennon A.;Long K.;Lowton M.;Pope N. (G);Tarkowski J.;Ward S.;Westwood A.;Wood Ch.;Ake N.;Begovic A. (G);Cook S.;Daniels C.;Fraser R.;Hyndman E.;Ibe J.;King J.;Mings T.;Mousset L.;Surman A. (C)
1;g_1_jVICwFfP;Crystal Palace;West Brom;13.05. 15:00;Cabaye Y.;Hennessey W. (G);Loftus-Cheek R.;McArthur J.;Milivojevic L. (C);Sakho M.;Tomkins J.;Townsend A.;van Aanholt P.;Wan-Bissaka A.;Zaha W.;Brunt C. (C);Dawson C.;Foster B. (G);Gibbs K.;Hegazy A.;Krychowiak G.;Livermore J.;McClean J.;Nyom A.;Rodriguez J.;Rondon S.
2;g_1_hv5vZY2t;Huddersfield;Arsenal;13.05. 15:00;Hadergjonaj F.;Hogg J. (C);Ince T.;Jorgensen M.;Kongolo T.;Lossl J. (G);Lowe C.;Mooy A.;Mounie S.;Pritchard A.;Schindler C.;Aubameyang P.;Bellerin H.;Holding R.;Iwobi A.;Kolasinac S.;Lacazette A.;Mkhitaryan H.;Mustafi S.;Ospina D. (G);Ramsey A. (C);Xhaka G.
3;g_1_AFaqYhIn;Liverpool;Brighton;13.05. 15:00;Alexander-Arnold T.;Firmino R.;Henderson J. (C);Karius L. (G);Lovren D.;Mane S.;Robertson A.;Salah M.;Solanke D.;van Dijk V.;Wijnaldum G.;Bong G.;Duffy S.;Dunk L. (C);Kayal B.;Knockaert A.;Locadia J.;March S.;Propper D.;Ryan M. (G);Schelotto E.;Stephens D.
4;g_1_l6bmXCXh;Manchester United;Watford;13.05. 15:00;Bailly E.;Blind D.;Carrick M. (C);Darmian M.;Mata J.;McTominay S.;Rashford M.;Rojo M.;Romero S. (G);Sanchez A.;Young A.;Cathcart C.;Deulofeu G.;Doucoure A.;Gomes H. (G) (C);Gray A.;Holebas J.;Hughes W.;Janmaat D.;Kabasele C.;Pereyra R.;Richarlison
5;g_1_rTciWWna;Newcastle;Chelsea;13.05. 15:00;Diame M.;Dubravka M. (G);Dummett P.;Gayle D.;Lascelles J. (C);Lejeune F.;Murphy J.;Perez A.;Ritchie M.;Shelvey J.;Yedlin D.;Azpilicueta C.;Bakayoko T.;Barkley R.;Cahill G. (C);Christensen A.;Courtois T. (G);Emerson;Giroud O.;Hazard E.;Kante N.;Moses V.
6;g_1_dW1eVj25;Southampton;Manchester City;13.05. 15:00;Austin C.;Bertrand R. (C);Hoedt W.;Hojbjerg P.;McCarthy A. (G);Redmond N.;Romeu O.;Soares C.;Stephens J.;Tadic D.;Yoshida M.;Bravo C. (G);Danilo;De Bruyne K.;Delph F.;Fernandinho (C);Gundogan I.;Laporte A.;Sane L.;Silva B.;Sterling R.;Stones J.
7;g_1_Uqr4bkWi;Swansea;Stoke;13.05. 15:00;Ayew A.;Ayew J.;Carroll T.;Dyer N.;Fabianski L. (G);King A.;Mawson A.;Olsson Mart.;Rangel A. (C);Routledge W.;van der Hoorn M.;Allen J.;Bauer M.;Butland J. (G);Crouch P.;Diouf M.;Ndiaye P.;Pieters E.;Shaqiri X.;Shawcross R. (C);Sorensen L.;Zouma K.
8;g_1_vei0UAHB;Tottenham;Leicester;13.05. 15:00;Alderweireld T.;Dier E.;Eriksen C.;Kane H.;Lamela E.;Lloris H. (G) (C);Lucas;Rose D.;Sissoko M.;Walker-Peters K.;Wanyama V.;Fuchs Ch.;Gray D.;Iborra;Iheanacho K.;Jakupovic E. (G);Maguire H.;Mahrez R.;Morgan W. (C);Silva Ad.;Simpson D.;Vardy J.
9;g_1_Ioj4TUWH;West Ham;Everton;13.05. 15:00;Adrian (G);Arnautovic M.;Cresswell A.;Kouyate C.;Lanzini M.;Mario J.;Masuaku A.;Noble M. (C);Ogbonna A.;Rice D.;Zabaleta P.;Baines L.;Coleman S.;Davies T.;Gueye I.;Jagielka P. (C);Keane M.;Mori R.;Niasse O.;Pickford J. (G);Schneiderlin M.;Tosun C.
10;g_1_tjMWlNt5;West Ham;Manchester United;10.05. 19:45;Adrian (G);Arnautovic M.;Cresswell A.;Kouyate C.;Lanzini M.;Mario J.;Masuaku A.;Noble M. (C);Ogbonna A.;Rice D.;Zabaleta P.;de Gea D. (G);Herrera A.;Jones P.;Lindelof V.;Lingard J.;McTominay S.;Pogba P.;Sanchez A.;Shaw L.;Smalling C.;Valencia A. (C)
11;g_1_j1TJiPdn;Manchester City;Brighton;09.05. 20:00;Bravo C. (G);Danilo;Fernandinho;Gabriel Jesus;Gundogan I.;Kompany V.;Laporte A.;Sane L.;Silva B.;Toure Y. (C);Zinchenko O.;Bong G.;Duffy S.;Dunk L.;Gross P.;Izquierdo J.;Knockaert A.;Propper D.;Ryan M. (G);Saltor B. (C);Stephens D.;Ulloa L.
12;g_1_nTMSk3Rb;Tottenham;Newcastle;09.05. 20:00;Alli D.;Davies B.;Eriksen C.;Kane H.;Lloris H. (G) (C);Sanchez D.;Sissoko M.;Son Heung-Min;Trippier K.;Vertonghen J.;Wanyama V.;Diame M.;Dubravka M. (G);Dummett P.;Gayle D.;Kenedy;Lascelles J. (C);Lejeune F.;Perez A.;Ritchie M.;Shelvey J.;Yedlin D.
13;g_1_4teX9qzS;Chelsea;Huddersfield;09.05. 19:45;Alonso M.;Azpilicueta C. (C);Caballero W. (G);Christensen A.;Fabregas C.;Kante N.;Morata A.;Pedro;Rudiger A.;Willian;Zappacosta D.;Billing P.;Depoitre L.;Hogg J.;Jorgensen M.;Kongolo T.;Lossl J. (G);Lowe C.;Mooy A.;Schindler C.;Smith T. (C);van La Parra R.
14;g_1_0YH8p8kJ;Leicester;Arsenal ;09.05. 19:45;Choudhury H.;Diabate F.;Fuchs Ch.;Iheanacho K.;Jakupovic E. (G);Maguire H.;Mahrez R.;Morgan W. (C);Silva Ad.;Simpson D.;Vardy J.;Aubameyang P.;Cech P. (G) (C);Holding R.;Iwobi A.;Kolasinac S.;Maitland-Niles A.;Mavropanos K.;Mkhitaryan H.;Ramsey A.;Welbeck D.;Xhaka G.
15;g_1_YHCZrAW4;Swansea;Southampton;08.05. 19:45;Ayew A.;Ayew J.;Clucas S.;Fabianski L. (G);Fernandez F. (C);King A.;Ki Sung-Yong;Mawson A.;Naughton K.;Olsson Mart.;Roberts C.;Austin C.;Bednarek J.;Bertrand R. (C);Hoedt W.;Hojbjerg P.;McCarthy A. (G);Redmond N.;Romeu O.;Soares C.;Stephens J.;Tadic D.
16;g_1_I3uWQyBJ;Arsenal;Burnley;06.05. 16:30;Aubameyang P.;Bellerin H.;Cech P. (G) (C);Chambers C.;Iwobi A.;Kolasinac S.;Lacazette A.;Mavropanos K.;Mkhitaryan H.;Wilshere J.;Xhaka G.;Barnes A.;Cork J. (C);Gudmundsson J.;Hendrick J.;Lennon A.;Long K.;Lowton M.;Pope N. (G);Tarkowski J.;Ward S.;Westwood A.
17;g_1_EZQ1LFYt;Chelsea;Liverpool;06.05. 16:30;Alonso M.;Azpilicueta C.;Bakayoko T.;Cahill G. (C);Courtois T. (G);Fabregas C.;Giroud O.;Hazard E.;Kante N.;Moses V.;Rudiger A.;Alexander-Arnold T.;Clyne N.;Firmino R.;Karius L. (G);Lovren D.;Mane S.;Milner J. (C);Robertson A.;Salah M.;van Dijk V.;Wijnaldum G.
18;g_1_lhJEIDIa;Manchester City;Huddersfield;06.05. 13:30;De Bruyne K.;Delph F.;Ederson (G);Fernandinho;Gabriel Jesus;Otamendi N.;Sane L.;Silva D. (C);Sterling R.;Stones J.;Walker K.;Hadergjonaj F.;Hogg J.;Jorgensen M.;Kongolo T.;Lossl J. (G);Lowe C.;Mooy A.;Mounie S.;Pritchard A.;Schindler C.;Smith T. (C)
19;g_1_SxV5KZmm;Everton;Southampton ;05.05. 17:30;Baines L.;Bolasie Y.;Coleman S.;Davies T.;Gueye I.;Jagielka P. (C);Keane M.;Pickford J. (G);Schneiderlin M.;Tosun C.;Vlasic N.;Austin C.;Bednarek J.;Bertrand R. (C);Hoedt W.;Hojbjerg P.;Lemina M.;McCarthy A. (G);Romeu O.;Soares C.;Tadic D.;Yoshida M.
20;g_1_jgq0aVGo;Bournemouth;Swansea;05.05. 15:00;Ake N.;Begovic A. (G);Cook L.;Cook S.;Daniels C.;Francis S. (C);Fraser R.;King J.;Pugh M.;Surman A.;Wilson C.;Ayew A.;Ayew J.;Carroll T.;Dyer N.;Fabianski L. (G);Fernandez F. (C);Ki Sung-Yong;Mawson A.;Olsson Mart.;Roberts C.;van der Hoorn M.
21;g_1_A1KAJg3g;Leicester;West Ham;05.05. 15:00;Benalouane Y.;Choudhury H.;Diabate F.;Fuchs Ch.;Hamer B. (G);Iborra;Maguire H.;Mahrez R.;Morgan W. (C);Silva Ad.;Vardy J.;Adrian (G);Arnautovic M.;Cresswell A.;Kouyate C.;Lanzini M.;Mario J.;Masuaku A.;Noble M. (C);Ogbonna A.;Rice D.;Zabaleta P.
22;g_1_dIMMGimC;Watford;Newcastle;05.05. 15:00;Capoue E.;Cathcart C.;Deeney T. (C);Doucoure A.;Gray A.;Holebas J.;Hughes W.;Janmaat D.;Kabasele C.;Karnezis O. (G);Pereyra R.;Diame M.;Dubravka M. (G);Dummett P.;Gayle D.;Kenedy;Lascelles J. (C);Lejeune F.;Manquillo J.;Murphy J.;Perez A.;Shelvey J.
23;g_1_vsCRFB2I;West Brom;Tottenham;05.05. 15:00;Brunt C. (C);Dawson C.;Foster B. (G);Gibbs K.;Hegazy A.;Livermore J.;McClean J.;Nyom A.;Phillips M.;Rodriguez J.;Rondon S.;Alderweireld T.;Alli D.;Eriksen C.;Kane H.;Lamela E.;Lloris H. (G) (C);Rose D.;Sanchez D.;Trippier K.;Vertonghen J.;Wanyama V.
24;g_1_IRNIHXX5;Stoke;Crystal Palace;05.05. 12:30;Allen J.;Bauer M.;Butland J. (G);Crouch P.;Diouf M.;Johnson G.;Ndiaye P.;Pieters E.;Shaqiri X.;Shawcross R. (C);Zouma K.;Cabaye Y.;Hennessey W. (G);Loftus-Cheek R.;McArthur J.;Milivojevic L. (C);Sakho M.;Tomkins J.;Townsend A.;van Aanholt P.;Ward J.;Zaha W.
25;g_1_dfvzQeQP;Brighton;Manchester United;04.05. 20:00;Bong G.;Duffy S.;Dunk L.;Gross P.;Izquierdo J.;Knockaert A.;Murray G.;Propper D.;Ryan M. (G);Saltor B. (C);Stephens D.;Darmian M.;de Gea D. (G);Fellaini M.;Martial A.;Mata J.;Matic N.;Pogba P.;Rashford M.;Rojo M.;Smalling C.;Young A. (C)
26;g_1_vLzi3YIC;Tottenham;Watford;30.04. 20:00;Alli D.;Davies B.;Dembele M.;Dier E.;Eriksen C.;Kane H.;Lloris H. (G) (C);Sanchez D.;Son Heung-Min;Trippier K.;Vertonghen J.;Capoue E.;Cathcart C.;Doucoure A.;Gray A.;Holebas J.;Hughes W.;Kabasele C.;Karnezis O. (G);Kiko;Mariappa A. (C);Richarlison
27;g_1_lWsv6zZg;Manchester United;Arsenal;29.04. 16:30;de Gea D. (G);Herrera A.;Lindelof V.;Lingard J.;Lukaku R.;Matic N.;Pogba P.;Sanchez A.;Smalling C.;Valencia A. (C);Young A.;Aubameyang P.;Bellerin H.;Chambers C.;Iwobi A.;Kolasinac S.;Maitland-Niles A.;Mavropanos K.;Mkhitaryan H.;Nelson R.;Ospina D. (G);Xhaka G. (C)
28;g_1_IBZf2hYI;West Ham;Manchester City;29.04. 14:15;Adrian (G);Arnautovic M.;Cresswell A.;Evra P.;Fernandes E.;Kouyate C.;Lanzini M.;Noble M. (C);Ogbonna A.;Rice D.;Zabaleta P.;De Bruyne K.;Delph F.;Ederson (G);Fernandinho (C);Gabriel Jesus;Gundogan I.;Laporte A.;Otamendi N.;Sane L.;Sterling R.;Walker K.
29;g_1_2wjIznvo;Swansea;Chelsea;28.04. 17:30;Ayew A. (C);Ayew J.;Clucas S.;Fabianski L. (G);King A.;Ki Sung-Yong;Mawson A.;Naughton K.;Olsson Mart.;Roberts C.;van der Hoorn M.;Azpilicueta C.;Bakayoko T.;Cahill G. (C);Courtois T. (G);Emerson;Fabregas C.;Giroud O.;Hazard E.;Kante N.;Moses V.;Rudiger A.
30;g_1_MHRcQ4K8;Burnley;Brighton;28.04. 15:00;Barnes A.;Cork J. (C);Gudmundsson J.;Lennon A.;Long K.;Lowton M.;Pope N. (G);Tarkowski J.;Ward S.;Westwood A.;Wood Ch.;Bong G.;Duffy S.;Dunk L.;Gross P.;Izquierdo J.;Kayal B.;Knockaert A.;Ryan M. (G);Saltor B. (C);Stephens D.;Ulloa L.
31;g_1_4tH2POZE;Crystal Palace;Leicester ;28.04. 15:00;Cabaye Y.;Hennessey W. (G);Loftus-Cheek R.;McArthur J.;Milivojevic L. (C);Sakho M.;Tomkins J.;Townsend A.;van Aanholt P.;Ward J.;Zaha W.;Albrighton M.;Chilwell B.;Choudhury H.;Gray D.;Hamer B. (G);Iheanacho K.;Maguire H.;Mahrez R.;Morgan W. (C);Ndidi W.;Vardy J.
32;g_1_t6vW7d4s;Huddersfield;Everton;28.04. 15:00;Hadergjonaj F.;Hogg J. (C);Jorgensen M.;Kongolo T.;Lossl J. (G);Mooy A.;Mounie S.;Pritchard A.;Quaner C.;Schindler C.;van La Parra R.;Baines L.;Coleman S.;Gueye I.;Jagielka P. (C);Keane M.;Pickford J. (G);Rooney W.;Schneiderlin M.;Tosun C.;Vlasic N.;Walcott T.
33;g_1_WfXr5fl0;Newcastle;West Brom;28.04. 15:00;Diame M.;Dubravka M. (G);Dummett P.;Gayle D.;Kenedy;Lascelles J. (C);Lejeune F.;Perez A.;Ritchie M.;Shelvey J.;Yedlin D.;Brunt C. (C);Dawson C.;Foster B. (G);Gibbs K.;Hegazy A.;Livermore J.;McClean J.;Nyom A.;Phillips M.;Rodriguez J.;Rondon S.
34;g_1_pbym4E36;Southampton;Bournemouth;28.04. 15:00;Austin C.;Bednarek J.;Bertrand R. (C);Hoedt W.;Lemina M.;McCarthy A. (G);Redmond N.;Romeu O.;Soares C.;Tadic D.;Yoshida M.;Ake N.;Begovic A. (G);Cook L.;Cook S.;Daniels C.;Francis S. (C);Fraser R.;Gosling D.;King J.;Mousset L.;Wilson C.
35;g_1_Auqz7GJm;Liverpool;Stoke;28.04. 12:30;Alexander-Arnold T.;Firmino R.;Gomez J.;Henderson J. (C);Ings D.;Karius L. (G);Klavan R.;Moreno A.;Salah M.;van Dijk V.;Wijnaldum G.;Allen J.;Bauer M.;Butland J. (G);Crouch P.;Diouf M.;Martins Indi B.;Ndiaye P.;Pieters E.;Shaqiri X.;Shawcross R. (C);Zouma K.
36;g_1_MLsa53rq;Everton;Newcastle;23.04. 20:00;Baines L.;Bolasie Y.;Coleman S.;Gueye I.;Jagielka P. (C);Keane M.;Pickford J. (G);Rooney W.;Schneiderlin M.;Tosun C.;Walcott T.;Diame M.;Dubravka M. (G);Dummett P.;Kenedy;Lascelles J. (C);Lejeune F.;Perez A.;Ritchie M.;Shelvey J.;Slimani I.;Yedlin D.
37;g_1_0U3juSVT;Manchester City;Swansea;22.04. 16:30;Danilo;De Bruyne K.;Delph F.;Ederson (G);Gabriel Jesus;Gundogan I.;Kompany V. (C);Laporte A.;Silva B.;Silva D.;Sterling R.;Ayew A.;Ayew J.;Carroll T.;Fabianski L. (G);Fernandez F. (C);King A.;Ki Sung-Yong;Mawson A.;Naughton K.;Olsson Mart.;van der Hoorn M.
38;g_1_8E1OB55F;Arsenal;West Ham;22.04. 13:30;Bellerin H.;Elneny M.;Iwobi A.;Koscielny L. (C);Lacazette A.;Monreal N.;Mustafi S.;Ospina D. (G);Ramsey A.;Welbeck D.;Xhaka G.;Arnautovic M.;Cresswell A.;Fernandes E.;Hart J. (G);Kouyate C.;Mario J.;Masuaku A.;Noble M. (C);Ogbonna A.;Rice D.;Zabaleta P.
39;g_1_Imy83sDe;Stoke;Burnley;22.04. 13:30;Allen J.;Bauer M.;Butland J. (G);Crouch P.;Diouf M.;Johnson G.;Martins Indi B.;Ndiaye P.;Pieters E.;Shaqiri X.;Shawcross R. (C);Barnes A.;Cork J. (C);Gudmundsson J.;Lennon A.;Long K.;Lowton M.;Pope N. (G);Tarkowski J.;Ward S.;Westwood A.;Wood Ch.
