Game ID,Team 1 Name,Team 2 Name,Date,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11
g_1_61kBH8Mo,Arsenal,Leicester,11/08/2017,Hector Bellerin,Petr Cech,Mohamed Elneny,Rob Holding,Sead Kolasinac,Alexandre Lacazette,Nacho Monreal,Alex Oxlade-Chamberlain,Mesut Ozil,Danny Welbeck,Granit Xhaka,Marc Albrighton,Christian Fuchs,Matthew James,Harry Maguire,Riyad Mahrez,Wes Morgan,Wilfred Ndidi,Shinji Okazaki,Kasper Schmeichel,Danny Simpson,Jamie Vardy
g_1_phlFGSyh,Brighton,Manchester City,12/08/2017,Isaiah Brown,Shane Duffy,Lewis Dunk,Pascal Gross,Tomer Hemed,Solomon March,Davy Propper,Mathew Ryan,Bruno Saltor,Dale Stephens,Markus Suttner,Sergio Aguero,Danilo,Kevin De Bruyne,Ederson,Fernandinho,Jesus Gabriel,Vincent Kompany,Nicolas Otamendi,David Silva,John Stones,Kyle Walker
g_1_2TrKFnib,Chelsea,Burnley,12/08/2017,Marcos Alonso,Cesar Azpilicueta,Michy Batshuayi,Jeremie Boga,Gary Cahill,Thibaut Courtois,Cesc Fabregas,kante-n-golo,David Luiz,Antonio Rudiger,Willian,Robbie Brady,Jack Cork,Steven Defour,Johann Gudmundsson,Tom Heaton,Jeff Hendrick,Matthew Lowton,Ben Mee,James Tarkowski,Sam Vokes,Stephen Ward
g_1_tKsOE664,Crystal Palace,Huddersfield,12/08/2017,Christian Benteke,Scott Dann,Timothy Fosu-Mensah,Wayne Hennessey,Ruben Loftus-Cheek,Luka Milivojevic,Jason Puncheon,Jairo Riedewald,Patrick van Aanholt,Joel Ward,Wilfried Zaha,Philip Billing,Tom Ince,Mathias Jorgensen,Elias Kachunga,Jonas Lossl,Chris Lowe,Aaron Mooy,Steve Mounie,Kasey Palmer,Christopher Schindler,Tom Smith
g_1_zssSDQLA,Everton,Stoke,12/08/2017,Leighton Baines,Dominic Calvert-Lewin,Idrissa Gueye,Phil Jagielka,Michael Keane,Davy Klaassen,Jordan Pickford,Sandro Ramirez,Wayne Rooney,Morgan Schneiderlin,Ashley Williams,Joe Allen,Saido Berahino,Jack Butland,Geoff Cameron,Mame Diouf,Darren Fletcher,Bojan Krkic,Erik Pieters,Xherdan Shaqiri,Ryan Shawcross,Kurt Zouma
g_1_6qzA52Tj,Southampton,Swansea,12/08/2017,Ryan Bertrand,Steven Davis,Fraser Forster,Manolo Gabbiadini,Nathan Redmond,Oriol Romeu,Cedric Soares,Jack Stephens,Dusan Tadic,James Ward-Prowse,Maya Yoshida,Tammy Abraham,Jordan Ayew,Leon Britton,Thomas Carroll,Lukasz Fabianski,Leroy Fer,Federico Fernandez,Alfie Mawson,Kyle Naughton,Martin Olsson,Wayne Routledge
g_1_Shy66rEp,West Brom,Bournemouth,12/08/2017,Chris Brunt,Craig Dawson,Sam Field,Ben Foster,Ahmed Hegazy,Jake Livermore,James Mcclean,Allan Nyom,Matt Phillips,Jay Rodriguez,Claudio Yacob,Benik Afobe,Nathan Ake,Harry Arter,Asmir Begovic,Steve Cook,Charlie Daniels,Simon Francis,Ryan Fraser,Joshua King,Marc Pugh,Andrew Surman
g_1_AaZvBO5T,Watford,Liverpool,12/08/2017,Nordin Amrabat,Miguel Britos,Nathaniel Chalobah,Tom Cleverley,Abdoulaye Doucoure,Heurelho Gomes,Jose Holebas,Daryl Janmaat,Younes Kaboul,Stefano Okaka,Roberto Pereyra,Trent Alexander-Arnold,Emre Can,Roberto Firmino,Jordan Henderson,Dejan Lovren,Sadio Mane,Joel Matip,Simon Mignolet,Alberto Moreno,Mohamed Salah,Georginio Wijnaldum
g_1_lpoWCpyH,Manchester United,West Ham,13/08/2017,Eric Bailly,Daley Blind,David de Gea,Phil Jones,Romelu Lukaku,Juan Mata,Nemanja Matic,Henrikh Mkhitaryan,Paul Pogba,Marcus Rashford,Luis Valencia,Marko Arnautovic,Andre Ayew,Chicharito,Edimilson Fernandes,Joe Hart,Arthur Masuaku,Mark Noble,Pedro Obiang,Angelo Ogbonna,Winston Reid,Pablo Zabaleta
g_1_W8zyC4jN,Newcastle,Tottenham,13/08/2017,Christian Atsu,Ciaran Clark,Paul Dummett,Rob Elliot,Dwight Gayle,Isaac Hayden,Florian Lejeune,Javier Manquillo,Ayoze Perez,Matt Ritchie,Jonjo Shelvey,Toby Alderweireld,Dele Alli,Ben Davies,Mousa Dembele,Eric Dier,Christian Eriksen,Harry Kane,Hugo Lloris,Moussa Sissoko,Jan Vertonghen,Kyle Walker-Peters
